,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,element_type,id,now_cost,points_per_game,selected_by_percent,status,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
180,100.0,100.0,1,3,463,62,3.8,15.4,a,111,17.9,Mount,2296,6,5,7,33,0,0,0,3,0,0,8,424,547.0,668.6,857.0,207.4
181,100.0,100.0,1,2,506,51,2.6,0.9,a,45,8.8,James,1065,0,2,3,14,0,0,0,1,0,0,5,257,242.0,280.8,125.0,64.9
182,100.0,100.0,2,2,529,42,3.2,1.7,a,48,11.4,Tomori,1291,1,0,4,18,0,0,0,3,0,0,7,271,335.4,68.6,79.0,48.5
183,100.0,100.0,0,3,533,45,1.7,0.3,a,5,1.1,Gilmour,99,0,0,1,1,0,0,0,0,0,0,0,18,13.0,26.3,3.0,4.2
184,0.0,0.0,0,2,545,39,0.0,0.1,n,0,0.0,Guehi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
185,,,0,3,630,45,1.0,0.0,a,1,0.2,Anjorin,19,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.2,9.0,1.0
186,,,0,4,631,45,1.0,0.0,a,1,0.2,Broja,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0
187,100.0,100.0,2,2,123,56,4.0,5.5,a,87,15.5,van Aanholt,1892,3,0,7,24,1,0,0,0,0,0,8,404,397.6,387.0,202.0,98.7
188,100.0,100.0,1,2,124,50,2.7,0.3,a,48,9.6,Tomkins,1582,1,1,3,23,0,0,0,5,0,0,4,260,384.0,27.7,121.0,53.3
189,100.0,100.0,0,2,125,50,0.9,0.1,a,7,1.4,Sakho,465,0,0,0,8,0,0,0,0,1,0,0,69,86.0,13.2,6.0,10.6
190,100.0,100.0,0,2,126,43,3.1,1.4,a,62,14.4,Ward,1570,0,1,6,18,0,0,0,3,0,0,7,282,267.6,86.9,32.0,38.7
